Resource Type,Region,Identifier,Nukable
iam-role,global,abdul-wsl-kinetic-reports-reportindividualprintsfnR-RWOSa53yUFkb,-
iam-role,global,abdul-wsl-kinetic-retool-CustomResourceHandlerServi-5Wme8Smibdrj,-
iam-role,global,abdul-wsl-kinetic-reyesex-BucketNotificationsHandle-efErTqH44ZdJ,-
iam-role,global,abdul-wsl-kinetic-reyesex-CustomResourceHandlerServ-mXJgsFr4N7dK,-
iam-role,global,abdul-wsl-kinetic-reyesex-CustomS3AutoDeleteObjects-nhx7i80M7zO6,-
iam-role,global,abdul-wsl-kinetic-reyesex-NotificationReyesExportBu-MYhP7kaW1h7K,-
iam-role,global,abdul-wsl-kinetic-reyesex-ReyesZipServiceRole01F746-ZU75SUrqxEkV,-
iam-role,global,abdul-wsl-kinetic-reyesexpo-ReyesExportRole934A695C-2MTBx65j96O9,-
iam-role,global,abdul-wsl-kinetic-salesfo-CustomResourceHandlerServ-w1chvB5Xyzcg,-
iam-role,global,abdul-wsl-kinetic-salesfo-sfdataapiLambdaGETproxySe-2gaIW9Lbtglz,-
iam-role,global,abdul-wsl-kinetic-secrets-CustomResourceHandlerServ-tZVsNGjkL1Qp,-
iam-role,global,abdul-wsl-kinetic-service-CustomResourceHandlerServ-lHSnvixzOTe5,-
iam-role,global,abdul-wsl-kinetic-trpc-CustomResourceHandlerService-njCa2vkLqTBN,-
iam-role,global,abdul-wsl-kinetic-trpc-trpcLambdaGETproxyServiceRol-ElTbSwchNT6l,-
iam-role,global,abdul-wsl-kinetic-trpc-trpcLambdaPOSTproxyServiceRo-vRrsIuN1oVU8,-
iam-role,global,abdul-wsl-kinetic-unwornd-CustomResourceHandlerServ-Hg7pK0naQjG1,-
iam-role,global,abdul-wsl-kinetic-unwornd-CustomResourceHandlerServ-l4bGrcyZYkq1,-
iam-role,global,abdul-wsl-kinetic-unwornd-UnwornDeviceJobServiceRol-skG4I9mVklFs,-
iam-role,global,abdul-wsl-kinetic-vpc-CustomResourceHandlerServiceR-qdDqgyvhPKux,-
iam-role,global,abdul-wsl-kinetic-web-CustomResourceHandlerServiceR-lcCmbuizpGU8,-
iam-role,global,add-jump-to-stats-tables-adminCertificateCertific-1DMA4NLHJVP91,-
iam-role,global,add-jump-to-stats-tables-adminS3HandlerServiceRol-1BLQL3H1AHNZU,-
iam-role,global,add-jump-to-stats-tables-adminS3UploaderServiceRo-GFIXIROADF9F,-
iam-role,global,add-jump-to-stats-tables-aggrEmployeeDailyActivit-1LS6BYLIVYK4T,-
iam-role,global,add-jump-to-stats-tables-aggrEmployeeDailyActivit-HA42ZHQADYG6,-
iam-role,global,add-jump-to-stats-tables-aggrEmployeeWwtJobServic-1P6EPOJOH9D48,-
iam-role,global,add-jump-to-stats-tables-aggrLocation0wwtJobServi-10SMBCUN5WBGQ,-
iam-role,global,add-jump-to-stats-tables-aggrLocationWwtJobServic-PQL1WGD8GIOA,-
